id,user_id,model_id,style,image_url,replicate_prediction_id,prompt,metadata,created_at,favorite,file_path
1,4,21,Fantasy,https://replicate.delivery/xezq/6WifC1Ddw5XVXyQdp94X95B458GEHjUtOJ5TqRwqwFwNGaUKA/out-0.png,prediction_1746243867556,"A cinematic fantasy scene set in a medieval world with TOK facing front. The overall atmosphere is epic and mysterious, in the visual style of Dungeons & Dragons, Lord of the Rings, and Game of Thrones. Ultra-realistic, high detail, dark fantasy color palette, 4K resolution.",{},2025-05-03 03:44:27.836942,false,/home/duchovs/code/AIHeadshotgenerator/data/generated/4/headshot_1.png
2,4,21,Fantasy,https://replicate.delivery/xezq/7mKjNfr0m2Xdd6spapzpmtdO30rjZnDPc9Dw3S5KD459HaUKA/out-0.png,prediction_1746244091764,"Headshot of TOK taken in a fantasy setting. The overall atmosphere is epic and mysterious, in the visual style of Dungeons & Dragons, Lord of the Rings, and Game of Thrones. Ultra-realistic, high detail, dark fantasy color palette, 4K resolution.",{},2025-05-03 03:48:14.554367,false,/home/duchovs/code/AIHeadshotgenerator/data/generated/4/headshot_2.png
3,4,21,Artistic,https://replicate.delivery/xezq/svfYkctNkjUdSSoSDelqQeAFKB3XPePKklbfJDn0lze2VHNKF/out-0.png,prediction_1746244951826,"Create an artistic portrait of TOK in a dramatic, painterly style. The subject is looking slightly off-camera, with soft, diffused lighting emphasizing facial features and emotional depth. Use rich, textured brushstrokes, a muted color palette with warm undertones, and a softly blurred background that suggests depth without distraction. The overall tone should evoke introspection and timelessness, reminiscent of a classical oil painting.",{},2025-05-03 04:02:32.275182,false,/home/duchovs/code/AIHeadshotgenerator/data/generated/4/headshot_3.png
4,4,21,Artistic,https://replicate.delivery/xezq/lD5nEx4QLT5oApWnTaHOyxxSddG9VAxyIYG4LzbTa44s6NKF/out-0.png,prediction_1746258099315,"undefined Additional details: Create an artistic portrait of a TOK man in a dramatic, painterly style. The subject is looking slightly off-camera, with soft, diffused lighting emphasizing facial features and emotional depth. Use rich, textured brushstrokes, a muted color palette with warm undertones, and a softly blurred background that suggests depth without distraction. The overall tone should evoke introspection and timelessness, reminiscent of a classical oil painting.",{},2025-05-03 07:41:39.659996,false,/home/duchovs/code/AIHeadshotgenerator/data/generated/4/headshot_4.png
5,4,21,Corporate,https://replicate.delivery/xezq/pZrz60VrX1p7AVYOCTaxfVdcrICa49GvPO2EYPOYYuSu1bUKA/out-0.png,prediction_1746258140720,"undefined Additional details: Professional corporate headshot of a TOK woman with a clean background and formal business attire. Well-groomed appearance, confident pose.",{},2025-05-03 07:42:21.109265,false,/home/duchovs/code/AIHeadshotgenerator/data/generated/4/headshot_5.png
6,4,21,Artistic,https://replicate.delivery/xezq/MFbvvvgi2OIqEVLiQx9fWuTQcBkQnCUtfRUfcgtAeek6qeNKF/out-0.png,prediction_1746258775609,"undefined Additional details: Create an artistic portrait of a TOK man in a dramatic, painterly style. The subject is looking slightly off-camera, with soft, diffused lighting emphasizing facial features and emotional depth. Use rich, textured brushstrokes, a muted color palette with warm undertones, and a softly blurred background that suggests depth without distraction. The overall tone should evoke introspection and timelessness, reminiscent of a classical oil painting.",{},2025-05-03 07:52:55.99736,false,/home/duchovs/code/AIHeadshotgenerator/data/generated/4/headshot_6.png
7,4,21,Corporate,https://replicate.delivery/xezq/crJAkecmU7wxGaK0fWeyv4acyXK3h17lEIfBkQy3TMpB4fGlC/out-0.png,prediction_1746259328939,"undefined Additional details: Professional corporate headshot of a TOK man with a clean background and formal business attire. Well-groomed appearance, confident pose.",{},2025-05-03 08:02:09.251369,false,/home/duchovs/code/AIHeadshotgenerator/data/generated/4/headshot_7.png
8,4,21,Outdoor,https://replicate.delivery/xezq/l0h1OrB3EeSKM6mTTN6mcMaVwgSJAFHG8TOnbK60He5McCpUA/out-0.png,prediction_1746302220956,undefined Additional details: Natural headshot of an outdoorsy TOK man taken in nature with natural lighting and greenery. Professional yet approachable.,{},2025-05-03 19:57:01.341322,false,/home/duchovs/code/AIHeadshotgenerator/data/generated/4/headshot_8.png
9,4,21,Casual,https://replicate.delivery/xezq/FtDkeklUmKRte0akpVER8DslIGZraU0PaZd3cOcEJinOpDpUA/out-0.png,prediction_1746307150561,undefined Additional details: Relaxed and friendly headshot of an attractive TOK man with casual smart clothing and a soft background. Natural and approachable expression.,{},2025-05-03 21:19:11.029685,false,/home/duchovs/code/AIHeadshotgenerator/data/generated/4/headshot_9.png
10,4,21,Outdoor,https://replicate.delivery/xezq/wqVOojeonuTKRaX7gwOffY3rbz1uDDbJJu17PmNA6PSLLISpA/out-0.png,prediction_1746308965740,Natural headshot of an outdoorsy TOK man taken in nature with natural lighting and greenery. Professional yet approachable.,{},2025-05-03 21:49:26.316322,false,/home/duchovs/code/AIHeadshotgenerator/data/generated/4/headshot_10.png
11,5,49,Fantasy,https://replicate.delivery/xezq/WH9kYEJhp96QOVPHfGVU0THmS52crbfuVxUib628lp2Pq2pUA/out-0.png,prediction_1746516112131,"Epic portrait of a TOK man in a fantasy setting. The overall atmosphere is mysterious and dramatic, in the visual style of Dungeons & Dragons, Lord of the Rings, and Game of Thrones. Ultra-realistic, high detail, dark fantasy color palette, 4K resolution.",{},2025-05-06 07:21:52.418734,false,/home/duchovs/code/AIHeadshotgenerator/data/generated/5/headshot_11.png
12,5,49,Corporate,https://replicate.delivery/xezq/WH9kYEJhp96QOVPHfGVU0THmS52crbfuVxUib628lp2Pq2pUA/out-0.png,prediction_5555555555,Professional LinkedIn-style headshot of an attractive TOK $ man with a professional office background and formal business attire. Well-groomed appearance and fit.,{},2025-05-06 07:21:59,false,/home/duchovs/code/AIHeadshotgenerator/data/generated/5/headshot_12.png
13,5,49,Casual,https://replicate.delivery/xezq/WH9kYEJhp96QOVPHfGVU0THmS52crbfuVxUib628lp2Pq2pUA/out-0.png,prediction_11111111111111,Edgy headshot of an attractive TOK ${person} standing in a vibrant urban city street wearing trendy streetwear clothing and an avant-garde pose.,{},2025-05-06 07:30:00,false,/home/duchovs/code/AIHeadshotgenerator/data/generated/5/headshot_13.png
14,5,49,Artistic,https://replicate.delivery/xezq/TIzPeQWbyTx0LKq4cIo6eI5eQTUh6autQOSHmIte2M0SubnSB/out-0.png,prediction_1746517221060,"Create an artistic portrait of a TOK man in a dramatic, painterly style. The subject is looking slightly off-camera, with soft, diffused lighting emphasizing facial features and emotional depth. Use rich, textured brushstrokes, a muted color palette with warm undertones, and a softly blurred background that suggests depth without distraction. The overall tone should evoke introspection and timelessness, reminiscent of a classical oil painting.",{},2025-05-06 07:40:22.074281,false,/home/duchovs/code/AIHeadshotgenerator/data/generated/5/headshot_14.png
15,9,51,Casual,https://replicate.delivery/xezq/P5YjndmLCeQJDyeuJwFQ3LFClKlUKqFt4X89bJBTmRzT5bqUA/out-0.png,prediction_1746668627763,Relaxed and friendly headshot of an attractive TOK man with casual smart clothing and a soft background. Natural and approachable expression.,{},2025-05-08 01:43:48.204572,false,/home/duchovs/code/AIHeadshotgenerator/data/generated/9/headshot_15.png
16,9,51,Fantasy,https://replicate.delivery/xezq/MjdOAZMhHDo2GtWe5bVPB256pByrNLSisEKSObmdgGGZ9NVKA/out-0.png,prediction_1746668722877,"Epic portrait of a TOK man in a fantasy setting. The overall atmosphere is mysterious and dramatic, in the visual style of Dungeons & Dragons, Lord of the Rings, and Game of Thrones. Ultra-realistic, high detail, dark fantasy color palette, 4K resolution.",{},2025-05-08 01:45:23.579188,false,/home/duchovs/code/AIHeadshotgenerator/data/generated/9/headshot_16.png
17,9,51,Outdoor,https://replicate.delivery/xezq/Hy9X1DKk1W5vLNF7OAsV0xcYfvxxexo4cwmnfg4WStee3kTlC/out-0.png,prediction_1746671551450,Natural headshot of an outdoorsy TOK man taken in nature with natural lighting and greenery. Professional yet approachable.,{},2025-05-08 02:32:31.448055,false,/home/duchovs/code/AIHeadshotgenerator/data/generated/9/headshot_17.png
